group,instruction,opcode,funct3,funct7,npc_op,rf_we,rf_wsel,sext_op,alu_op,alua_sel,alub_sel,is_mul,is_div,ram_rop,ram_wop
demo,addi,0010011,000,-,NPC_PC4,1,WB_ALU,EXT_I,ALU_ADD,ALU_A_RS1,ALU_B_EXT,0,0,RAM_EXT_N,RAM_WE_N
demo,ori,0010011,110,-,NPC_PC4,1,WB_ALU,EXT_I,ALU_OR,ALU_A_RS1,ALU_B_EXT,0,0,RAM_EXT_N,RAM_WE_N
demo,slli,0010011,001,0000000,NPC_PC4,1,WB_ALU,EXT_I,ALU_SLL,ALU_A_RS1,ALU_B_EXT,0,0,RAM_EXT_N,RAM_WE_N
demo,lui,0110111,-,-,NPC_PC4,1,WB_EXT,EXT_U,-,-,-,0,0,RAM_EXT_N,RAM_WE_N
demo,lw,0000011,010,-,NPC_PC4,1,WB_RAM,EXT_I,ALU_ADD,ALU_A_RS1,ALU_B_EXT,0,0,RAM_EXT_W,RAM_WE_N
demo,beq,1100011,000,-,NPC_BRA,0,-,EXT_B,ALU_EQ,ALU_A_RS1,ALU_B_RS2,0,0,RAM_EXT_N,RAM_WE_N
demo,bne,1100011,001,-,NPC_BRA,0,-,EXT_B,ALU_NE,ALU_A_RS1,ALU_B_RS2,0,0,RAM_EXT_N,RAM_WE_N
demo,jal,1101111,-,-,NPC_JMP,1,WB_PC4,EXT_J,-,-,-,0,0,RAM_EXT_N,RAM_WE_N
group_a,sll,0110011,001,0000000,,,,,,,,,,,
group_a,srl,0110011,101,0000000,,,,,,,,,,,
group_a,srli,0010011,101,0000000,,,,,,,,,,,
group_a,sra,0110011,101,0100000,,,,,,,,,,,
group_a,srai,0010011,101,0100000,,,,,,,,,,,
group_a,add,0110011,000,0000000,,,,,,,,,,,
group_a,sub,0110011,000,0100000,,,,,,,,,,,
group_a,auipc,0010111,-,-,,,,,,,,,,,
group_a,xor,0110011,100,0000000,,,,,,,,,,,
group_a,xori,0010011,100,-,,,,,,,,,,,
group_a,lb,0000011,000,-,,,,,,,,,,,
group_a,lbu,0000011,100,-,,,,,,,,,,,
group_a,lh,0000011,001,-,,,,,,,,,,,
group_a,lhu,0000011,101,-,,,,,,,,,,,
group_a,sw,0100011,010,-,,,,,,,,,,,
group_a,sb,0100011,000,-,,,,,,,,,,,
group_a,sh,0100011,001,-,,,,,,,,,,,
group_a,jalr,1100111,000,-,,,,,,,,,,,
